source,target,weight,bot_event_count
shoulda,Cuihongsen,1,0
shoulda,DspringL,1,0
shoulda,KT2024,1,0
shoulda,ZhangShiYeChina,1,0
shoulda,boooobao,1,0
shoulda,caochengxiang,1,0
shoulda,chickenlj,1,0
shoulda,ctcc-bestpay,1,0
shoulda,flying-2077,1,0
shoulda,goto456,1,0
shoulda,haoyann,1,0
shoulda,haroldyong,1,0
shoulda,hgwym,1,0
shoulda,ilaotan,1,0
shoulda,kenaosg,1,0
shoulda,keylihai,1,0
shoulda,kids1994,1,0
shoulda,laibb,1,0
shoulda,nannanfighting,1,0
shoulda,netsunn,1,0
shoulda,owen200008,1,0
shoulda,qinxingnet,1,0
shoulda,rightgenius,1,0
shoulda,romeoblog,1,0
shoulda,softliumin,1,0
shoulda,songxiaosheng,1,0
shoulda,walter211,1,0
shoulda,wcc1433,1,0
shoulda,xiaochangbai,1,0
shoulda,yizheWork,1,0
shoulda,zhangyungen,1,0
Yiyiyimu,AlbumenJ,1,0
Yiyiyimu,CrazyHZM,1,0
Yiyiyimu,chickenlj,1,0
hsluoyz,plainheart,1,9
hsluoyz,susiwen8,1,9
component,Xusq513,1,0
component,object777,1,0
component,Rdebu,2,3
component,tokers,1,0
component,tzssangglass,1,0
component,shuaijinchao,1,3
component,alanjiang,1,0
component,liangliang4ward,1,0
component,log4j2,1,0
component,spacewander,1,0
juzhiyuan,Ovilia,1,6
juzhiyuan,Youmyin,1,6
juzhiyuan,kongmoumou,1,6
juzhiyuan,juzhiqiang,1,9
juzhiyuan,linghaoSu,1,9
juzhiyuan,plustliang,1,9
juzhiyuan,yuanyuanshen,1,9
ghost,Miskho,1,0
ghost,ajbosco,1,0
ghost,bertrand-buffat,1,0
ghost,eladkal,11,12
ghost,george-zubrienko,1,0
ghost,nicor88,1,0
ghost,potiuk,26,22
ghost,reference,1,0
ghost,shuizhongxiong,1,3
ghost,EmoneyDamon,1,4
ghost,hwlv,1,4
ghost,jiankafei,1,4
ghost,qaz3954179,1,4
ghost,trague,1,4
ghost,DwGoing,1,0
ghost,LivesMountain,1,0
ghost,kayx23,4,0
ghost,mingmingshiliyu,1,0
ghost,tokers,1,0
ghost,tzssangglass,4,0
ghost,BraveShadow,1,0
ghost,Miss-you,1,0
ghost,lotreal,1,0
