id,home_project,project_count,issue_count,avg_bot_ratio
hcolde,apache_apisix,1,1,1.0
shuaijinchao,apache_apisix,1,133,0.21052631578947367
shoulda,apache_apisix,2,10,0.1111111111111111
spacewander,apache_apisix,1,1758,0.08930602957906712
tokers,apache_apisix,1,960,0.27708333333333335
kongjun01,apache_apisix,1,12,0.0
philzhangrui,apache_apisix,1,5,0.4
tzssangglass,apache_apisix,1,879,0.2923777019340159
jamesislebron,apache_apisix,1,5,0.2
cgodefroy92,apache_apisix,1,2,0.5
yudar1024,apache_apisix,1,2,0.0
yuhaizr,apache_apisix,1,2,0.5
StretchV,apache_apisix,1,19,0.15789473684210525
htwdjqr,apache_apisix,1,1,0.0
zhongchongan,apache_apisix,1,1,0.0
chinagoldline,apache_apisix,1,1,0.0
ArmitageW,apache_apisix,1,1,0.0
nic-chen,apache_apisix,1,174,0.09195402298850575
Zheaoli,apache_apisix,1,8,0.0
forcemain,apache_apisix,1,1,0.0
sbritocorral,apache_apisix,1,1,0.0
yongboy,apache_apisix,1,10,0.3
edisonwd,apache_apisix,1,1,0.0
sandy420,apache_apisix,1,18,0.2222222222222222
BlackGhostKing,apache_apisix,1,1,0.0
izayoi-akira,apache_apisix,1,2,0.0
RhnSharma,apache_apisix,1,1,0.0
Yiyiyimu,apache_apisix,2,125,0.08064516129032258
mytsing520,apache_apisix,1,1,0.0
membphis,apache_apisix,1,1231,0.0463038180341186
zuiyangqingzhou,apache_apisix,1,44,0.20454545454545456
monyuan,apache_apisix,1,1,0.0
zxhans,apache_apisix,1,5,0.2
itw-hewb,apache_apisix,1,2,0.5
kuberxy,apache_apisix,1,10,0.1
monkeyDluffy6017,apache_apisix,1,360,0.225
xujiesh0510,apache_apisix,1,6,0.0
Garden12138,apache_apisix,1,1,0.0
pawarjayesh1985,apache_apisix,1,1,0.0
moonming,apache_apisix,1,901,0.06770255271920089
xiangyu123,apache_apisix,1,1,0.0
hsluoyz,apache_apisix,2,3,0.0
rushitote,apache_apisix,1,3,0.0
guoqqqi,apache_apisix,1,15,0.2
liuxiran,apache_apisix,1,30,0.06666666666666667
okaybase,apache_apisix,1,3,0.0
xtechcloud-admin,apache_apisix,1,1,0.0
nanamikon,apache_apisix,1,23,0.08695652173913043
ryan4yin,apache_apisix,1,10,0.1
lihuawei321,apache_apisix,1,7,0.2857142857142857
iSuperCoder,apache_apisix,1,2,0.5
eddycjy,apache_apisix,1,1,0.0
dmsolr,apache_apisix,1,11,0.09090909090909091
Areturn,apache_apisix,1,1,0.0
yaobo-lab,apache_apisix,1,6,0.16666666666666666
riskgod,apache_apisix,1,15,0.2
imjoey,apache_apisix,1,31,0.12903225806451613
Rdebu,apache_apisix,1,3,0.3333333333333333
component,apache_dubbo,2,9,0.0
iamayushdas,apache_apisix,1,7,0.0
starsz,apache_apisix,1,94,0.14893617021276595
juzhiyuan,apache_apisix,2,461,0.16339869281045752
azura27,apache_apisix,1,11,0.09090909090909091
chzhuo,apache_apisix,1,5,0.2
oldthreefeng,apache_apisix,1,8,0.25
dufeixiang,apache_apisix,1,1,0.0
wyunan,apache_apisix,1,1,0.0
RalapZ,apache_apisix,1,2,0.0
tao12345666333,apache_apisix,1,67,0.2835820895522388
webup,apache_apisix,1,1,0.0
wjmmjr,apache_apisix,1,4,0.0
yzeng25,apache_apisix,1,16,0.0
clojure8,apache_apisix,1,1,0.0
tylitianrui,apache_apisix,1,5,0.6
Baoyuantop,apache_apisix,1,9,0.3333333333333333
luoyin63,apache_apisix,1,3,0.3333333333333333
jagerzhang,apache_apisix,1,39,0.15384615384615385
zhangbing17,apache_apisix,1,4,0.25
ghost,apache_superset,5,193,0.36666666666666664
ggxx,apache_apisix,1,1,0.0
zhangdadan,apache_apisix,1,1,0.0
zuodengchao,apache_apisix,2,3,0.0
aiyiyi121,apache_apisix,1,12,0.08333333333333333
aichibazhang,apache_apisix,1,1,1.0
qizhendong1,apache_apisix,1,24,0.375
sunhao-java,apache_apisix,1,4,0.0
tong3jie,apache_apisix,1,1,0.0
xiaojifan,apache_apisix,1,1,0.0
Fuchange,apache_apisix,1,6,0.0
Xu-Mj,apache_apisix,1,2,0.0
xialee3512,apache_apisix,1,2,0.0
zou8944,apache_apisix,1,2,0.5
Caibreeze0908,apache_apisix,1,4,1.0
XuZhaoPro,apache_apisix,1,5,0.4
zhixiang0608,apache_apisix,1,3,0.3333333333333333
ependi-buzz,apache_apisix,1,2,0.0
wugd1986,apache_apisix,1,1,1.0
lcssos,apache_apisix,2,2,0.0
linuke,apache_dubbo,2,3,0.0
liyang1518,apache_apisix,1,1,0.0
johnyq,apache_apisix,1,2,0.0
yangtian9999,apache_superset,2,3,0.0
wayne-cheng,apache_apisix,1,1,0.0
lilihongjava,apache_apisix,1,4,0.25
xiaowen001,apache_apisix,1,1,0.0
eavesmy,apache_apisix,1,4,0.0
taojintianxia,apache_apisix,3,3,0.0
ken-cq,apache_apisix,1,1,0.0
zwjzxh520,apache_apisix,1,7,0.0
ccwxl,apache_apisix,1,13,0.23076923076923078
karboom,apache_apisix,1,3,0.0
zhikaichen123,apache_apisix,1,4,0.25
gy09535,apache_apisix,1,29,0.034482758620689655
pc10201,apache_apisix,1,3,0.0
Hxhong,apache_apisix,1,8,0.375
zaunist,apache_apisix,1,25,0.0
charles1503,apache_apisix,1,1,0.0
JadeQin,apache_apisix,1,1,0.0
Windforce17,apache_apisix,1,1,0.0
123fuxiaohui,apache_apisix,1,1,1.0
mangoGoForward,apache_apisix,1,11,0.09090909090909091
elvis-cai,apache_apisix,1,1,0.0
liumoji,apache_apisix,1,1,0.0
mamalianggf,apache_apisix,1,3,0.0
han6565,apache_apisix,1,2,0.0
pawarJayesh8511,apache_apisix,1,6,0.16666666666666666
Wauux,apache_apisix,1,2,0.0
acuteaura,apache_apisix,1,2,0.5
bingoku,apache_apisix,1,4,0.25
brentmjohnson,apache_apisix,1,2,0.0
chloe88,apache_apisix,1,1,0.0
eastearth,apache_apisix,1,1,0.0
haozileung,apache_apisix,1,1,0.0
hotbaby,apache_apisix,1,2,0.0
kika-jiaxudong,apache_apisix,1,1,0.0
kwanhur,apache_apisix,1,56,0.375
niuguy,apache_apisix,1,1,0.0
return200,apache_apisix,1,1,0.0
soulbird,apache_apisix,1,159,0.2893081761006289
syokensyo,apache_apisix,1,1,0.0
z-yuxie,apache_apisix,1,1,0.0
zhoutaoo,apache_apisix,1,1,0.0
zsjinwei,apache_apisix,1,1,0.0
Chever-John,apache_apisix,1,18,0.2222222222222222
rztao,apache_apisix,1,1,0.0
feipengheart,apache_apisix,1,4,0.25
jialinks,apache_apisix,1,3,0.3333333333333333
Donghui0,apache_apisix,1,9,0.1111111111111111
caixiaomao,apache_apisix,1,1,0.0
dongjiang1989,apache_apisix,1,2,0.5
RocFang,apache_apisix,2,5,0.3333333333333333
SebastianLavertheDe,apache_apisix,1,1,0.0
AleenaSA,apache_apisix,1,1,0.0
ramessesii2,apache_apisix,1,1,0.0
satyaarthchhabra,apache_apisix,1,1,0.0
WeiXue9,apache_apisix,1,2,0.5
fmcodeing,apache_apisix,1,2,0.0
fuguanye,apache_apisix,1,1,0.0
ray-008,apache_apisix,1,1,0.0
